cpu,motherboard,gpu,ram,psu,price,type,rating
AMD Ryzen 3 1200,MSI A320M-A PRO MAX,Radeon Pro W5500,G.Skill Ripjaws S5 64 GB,Super Flower Leadex Titanium,1297.51,Gaming,12.98864748633922
Intel Pentium Gold G6600 @ 4.20GHz,MSI MPG Z590 GAMING EDGE WIFI,Radeon RX 6900 XT,Kingston ValueRAM 2 GB,Silverstone SX500-G,1700.8,Professional,20.795507996237063
Intel Core i5-12600K,Gigabyte B760M C,Radeon RX 6600 XT,Corsair Vengeance RGB 64 GB,SeaSonic PRIME,1252.14,All-in-One,39.48951395211398
AMD Ryzen 5 4500,ASRock X570D4U,Radeon Pro W5700,Kingston FURY Beast RGB 16 GB,SeaSonic FOCUS SPX (2021),2398.7200000000003,All-in-One,13.726737593383136
AMD Ryzen 5 1600,Asus TUF GAMING B450M-PLUS II,Radeon Pro W5700,Corsair Vengeance RGB Pro SL 16 GB,Super Flower Leadex Platinum,2133.7799999999997,All-in-One,14.522490603529889
Intel Core i5-11500T @ 1.50GHz,MSI MPG Z590 GAMING EDGE WIFI,GeForce RTX 2080 Ti,Timetec PINNACLE Konduit RGB 32 GB,Corsair RM1000x (2021),1773.7700000000002,Professional,22.15507083782001
Intel Core i5-12600KF,ASRock Z790 Taichi,GeForce RTX 3080,TEAMGROUP T-Force Zeus 32 GB,SeaSonic G12 GM,2115.0299999999997,Multimedia,26.908838172508197
AMD Ryzen 7 1700X,Asus TUF GAMING B450M-PRO II,GeForce RTX 2070,Patriot Signature Line 4 GB,EVGA 600 W1,1030.18,Office,13.632569065600187
AMD A6-9500E,MSI MEG B550 UNIFY-X,Radeon Pro WX 4100,Kingston FURY Beast 32 GB,CoolMax ZX-500,1023.47,Office,21.17111395546523
Intel Core i7-11700 @ 2.50GHz,Asus Prime Z590-P WiFi,GeForce GTX 1660,TEAMGROUP T-Force Xtreem ARGB 16 GB,be quiet! System Power 9 700 CM,1093.3400000000001,Multimedia,40.00036585142773
AMD Ryzen 3 3100,Gigabyte B550 UD AC,GeForce GTX 1650,TEAMGROUP T-Force Vulcan Z 16 GB,PowerSpec GFM,650.92,All-in-One,36.544275794260436
Intel Core i9-11900F @ 2.50GHz,Asus TUF GAMING Z490-PLUS (WI-FI),Radeon RX 6600 XT,TEAMGROUP T-Force Delta RGB 64 GB,Cooler Master XG650 Plus,1448.96,All-in-One,33.023271863957596
Intel Core i9-12900K,MSI MPG Z690 EDGE WIFI,GeForce GTX 1060 5GB,Patriot Viper 4 Blackout 8 GB,EVGA SuperNOVA 650 P5,1625.3500000000001,Multimedia,29.863414033900387
AMD Ryzen 5 1600X,Asus TUF B450M-PLUS GAMING,GeForce RTX 3070,Mushkin Proline 8 GB,Gigabyte P550B,1293.4,Multimedia,35.58953146745013
AMD Ryzen 3 3100,MSI MPG X570 GAMING EDGE WIFI,Radeon RX 6600 XT,Mushkin Essentials 4 GB,SeaSonic PRIME 1300 Gold,1225.19,Multimedia,37.83086704919237
AMD Ryzen 5 PRO 4650G,ASRock B550M-ITX/ac,TITAN V,Corsair Vengeance RGB 32 GB,SeaSonic FOCUS SGX (2021),2682.3199999999997,All-in-One,13.300724745742496
AMD Ryzen 3 1300X,Gigabyte B550 UD AC,GeForce GTX 1080 Ti,Samsung M391A2K43BB1-CRC 16 GB,Silverstone SFX,1131.43,Gaming,13.655904474868086
AMD Ryzen 7 3800X,ASRock B550M Steel Legend,Radeon RX 5700 XT,Mushkin Redline 8 GB,EVGA SuperNOVA 850 T2,1339.51,Gaming,15.718509007024956
Intel Core i7-10700KF @ 3.80GHz,Gigabyte Z590 AORUS TACHYON,TITAN V,Kingston KVR16N11S8K2/8 8 GB,SeaSonic VERTEX GX-850,2920.1000000000004,Gaming,7.313345433375567
Intel Pentium Gold G6400T @ 3.40GHz,ASRock B560M-HDV,Radeon RX 590,Patriot Viper SODIMM 8 GB,EVGA GE,861.48,Multimedia,40.633560848771886
Intel Core i7-11700K @ 3.60GHz,MSI MPG Z490 GAMING CARBON WIFI,Radeon RX 5700,TEAMGROUP T-Create Expert 64 GB,Asus ROG Strix,1976.93,All-in-One,23.305630447208554
AMD Athlon X4 950,Asus PRIME A520M-A/CSM,GeForce RTX 2080,Kingston Server Premier 8 GB,Gigabyte UD850GM,934.4,Office,14.103167808219178
Intel Core i5-10400T @ 2.00GHz,MSI MAG Z490 TOMAHAWK,GeForce RTX 3080 Ti,Crucial Pro 32 GB,Deepcool PQ650M,1879.97,Professional,23.225636579307114
AMD Athlon X4 950,MSI MAG B550 TOMAHAWK MAX WIFI,Radeon RX Vega 56,PNY Performance 8 GB,SeaSonic PRIME TX-1000,1343.74,Gaming,8.158646762022414
Intel Core i7-10700T @ 2.00GHz,ASRock B460M Steel Legend,GeForce RTX 3070 Ti,Corsair ValueSelect 8 GB,FSP Group Hydro GE,1510.2,Multimedia,31.43921334922527
AMD Ryzen 7 1800X,ASRock B550 Taichi Razer Edition,GeForce GT 1030,OLOy Blade RGB 32 GB,Gigabyte P450B,767.98,Office,33.74567046016823
Intel Core i5-10600 @ 3.30GHz,MSI MEG Z590 GODLIKE,GeForce GTX 1660,Kingston KTD-PE426S8/8G 8 GB,Silverstone SFX,1204.3400000000001,All-in-One,23.636680671571153
AMD A6-9500E,NZXT N7 B550,Radeon Pro W5700,Patriot Signature 4 GB,Apevia Prestige,2036.71,Professional,13.208802431372165
Intel Core i3-10320 @ 3.80GHz,Asus ROG STRIX Z490-E GAMING,Radeon RX Vega 56,Crucial CT2KIT51264BF1339 8 GB,SeaSonic PRIME Ultra Gold 850,1484.69,All-in-One,18.67474018145202
AMD Ryzen 9 3900,ASRock B550M Phantom Gaming 4,GeForce RTX 2080,G.Skill Ripjaws V 256 GB,EVGA 610 BP,1847.1299999999999,Office,63.97059221603244
Intel Core i3-12100T,Gigabyte Z690I AORUS ULTRA PLUS DDR4 (rev. 1.0),Radeon Pro W5500,Corsair Vengeance 4 GB,Corsair RM750e (2023),1013.52,Office,21.777567290236007
Intel Core i5-12400F,Asus PRIME H610M-D D4,GeForce GTX 1660 SUPER,G.Skill Trident Z 32 GB,Enermax MAXREVO SLI,1130.39,Multimedia,40.64924495085767
Intel Pentium G4560T @ 2.90GHz,Supermicro MBD-X11SSL-F-O,GeForce RTX 3080,Kingston FURY Beast 16 GB,EVGA SuperNOVA 750 G5,1690.96,All-in-One,19.059232625254293
Intel Core i9-10900KF @ 3.70GHz,ASRock H470M-HDV/M.2,Radeon RX 5700 XT,TEAMGROUP Elite 8 GB,MSI MEG Ai1300P PCIE5,1466.73,Professional,20.41684563621116
AMD Ryzen 5 5600X,Asus ROG STRIX B550-F GAMING WIFI II,Radeon RX 6800,TEAMGROUP T-Force Vulcan Z 32 GB,Super Flower LEADEX VII XG,1378.95,All-in-One,30.67913992530549
AMD Ryzen 7 1700X,Asus ROG Crosshair VIII Impact,GeForce RTX 3070 Ti,Kingston FURY Beast 32 GB,ADATA XPG PYLON,2022.96,Gaming,10.42081899790406
AMD Athlon 200GE,Asus Strix B550-XE Gaming WiFi,Radeon Pro WX 8200,Thermaltake TOUGHRAM RGB 16 GB,Enermax Revolution D.F.,2210.23,Gaming,5.666604832981183
AMD Ryzen 9 3900XT,Asus ROG Crosshair VIII Hero (WI-FI),GeForce RTX 3060 Ti,Lexar Hades RGB 16 GB,Cougar GEX,1734.73,Professional,19.670496273195255
Intel Core i5-12400F,ASRock H610M-ITX/ac,Radeon RX 6800 XT,Crucial CT2KIT25664AC667 4 GB,SeaSonic PRIME Ultra Platinum 850,1588.43,All-in-One,23.985067015858426
Intel Core i3-9300 @ 3.70GHz,Asus Prime Z370-P,GeForce GTX 1650 SUPER,Crucial CT2K8G4DFS832A 16 GB,EVGA SuperNOVA 650 G6,1098.1100000000001,All-in-One,24.782763111163728
AMD Ryzen 7 3800XT,Asus ROG STRIX B550-F GAMING,Radeon RX 5500 XT,TEAMGROUP T-Create Classic 32 GB,EVGA GE,1169.21,Gaming,18.504716860102118
Intel Core i3-10100F @ 3.60GHz,Supermicro C9Z490-PGW,GeForce RTX 2080 SUPER,G.Skill F3-12800CL11S-4GBSQ 4 GB,EVGA 710 BP,1456.47,Office,11.825852918357397
AMD Ryzen 5 5500,Asus PRIME A320M-A,GeForce GTX 1660 Ti,Patriot Viper SODIMM 8 GB,EVGA 600 BR,761.8799999999999,All-in-One,36.988239617787585
Intel Core i3-10305T @ 3.00GHz,EVGA Z490 DARK K|NGP|N,GeForce RTX 3080,Crucial CT2K16G4DFD8213 32 GB,SeaSonic FOCUS,1916.16,Multimedia,24.730711422845694
Intel Core i5-10400 @ 2.90GHz,Asus PRIME B560M-A AC,Radeon RX 580,Corsair Vengeance 64 GB,SeaSonic FOCUS,1177.42,Multimedia,36.89422635932802
AMD Ryzen 7 3800XT,Asus EX-A320M-GAMING,Radeon RX Vega 56,G.Skill Ripjaws V 16 GB,Corsair TX650,1745.32,Professional,15.640684802786883
Intel Core i3-10105 @ 3.70GHz,Gigabyte B560 AORUS PRO AX,GeForce RTX 2070,G.Skill Ripjaws V 16 GB,Asus ROG Strix,1488.43,Multimedia,26.460095536908018
Intel Core i3-10320 @ 3.80GHz,Gigabyte Z490I AORUS ULTRA,GeForce RTX 2080 SUPER,TEAMGROUP T-Force Delta RGB 32 GB,Cooler Master V750 SFX GOLD,1594.2800000000002,Office,18.747020598640134
AMD Ryzen 7 3700X,Asus ROG STRIX B550-F GAMING,GeForce RTX 3060,G.Skill Ripjaws 32 GB,Cooler Master V850 SFX GOLD,1112.1,Professional,33.35941012498876
AMD Ryzen 3 3300X,Asus PRIME B450M-A/CSM,GeForce RTX 2070 SUPER,Mushkin Proline 8 GB,be quiet! Dark Power 13,1352.8899999999999,Multimedia,31.793420011974373
Intel Core i7-10700KF @ 3.80GHz,Gigabyte Z590I AORUS ULTRA,GeForce GTX 1080 Ti,Kingston ValueRAM 16 GB,Apevia Prestige,1124.11,Professional,29.020291608472487
Intel Core i9-12900,MSI PRO B760M-A WIFI,GeForce GTX 1660,G.Skill Ripjaws V 32 GB,Rosewill LEPTON 600,1322.92,Gaming,23.190215583708763
AMD Ryzen 5 3500X,Gigabyte B550M DS3H AC,Radeon RX 6900 XT,G.Skill Trident Z Royal Elite 32 GB,Super Flower Leadex Platinum SE,1853.16,Office,15.082345830905048
AMD Ryzen 5 3600X,ASRock B450M/AC,GeForce GT 1030,G.Skill Aegis 8 GB,Athena Power AP-MFATX40P8,607.84,Professional,20.815510660700184
Intel Core i3-10105 @ 3.70GHz,ASRock Z590 Steel Legend,Radeon Pro WX 8200,Patriot Viper 4 Blackout 16 GB,ADATA XPG CORE Reactor 850,1978.8700000000001,Office,11.475235866934158
Intel Xeon W-2275 @ 3.30GHz,Gigabyte X299 UD4 Pro,GeForce RTX 2060 SUPER,Corsair Dominator Platinum 32 GB,Silverstone Strider Platinum,2958.88,All-in-One,13.006137457416319
AMD Ryzen 7 3800XT,Asus TUF GAMING B450M-PRO II,GeForce RTX 3070,G.Skill Trident Z Neo 64 GB,Thermaltake Toughpower GF2 ARGB,1571.2099999999998,Professional,31.584893171504767
Intel Core i5-9500T @ 2.20GHz,Asus ROG MAXIMUS XI GENE,Radeon RX 580,Kingston FURY Beast 16 GB,Thermaltake German,1250.48,Multimedia,29.27515833919775
Intel Core i9-11900K @ 3.50GHz,Asus PRIME H510M-A/CSM,Radeon RX 580,Kingston ValueRAM 2 GB,Fractal Design Anode Bronze,1092.43,Gaming,19.306317109563086
Intel Core i7-10700F @ 2.90GHz,Gigabyte Z490I AORUS ULTRA,Radeon RX 6900 XT,Mushkin Essentials 32 GB,Cougar VTE X2,1976.6699999999998,Professional,22.446336515452757
AMD Ryzen 7 5800X,ASRock B550 Extreme4,GeForce GTX 1070 Ti,Mushkin Redline 16 GB,Corsair RM750e (2023),1042.57,Gaming,23.89805960271253
Intel Core i9-11900T @ 1.50GHz,MSI MEG Z590 GODLIKE,GeForce GTX 1060 5GB,Mushkin Essentials 4 GB,Corsair CX650F,1584.96,All-in-One,17.050146375933778
Intel Core i9-9900X @ 3.50GHz,Asus WS X299 PRO,GeForce RTX 2080 Ti,TEAMGROUP T-Force Zeus 16 GB,Deepcool PM850D,2299.5499999999997,Multimedia,21.80165684590464
Intel Core i5-9500F @ 3.00GHz,Gigabyte Z370N WIFI,GeForce GTX 1080 Ti,G.Skill Trident Z5 RGB 32 GB,Silverstone DA750 Gold,1339.85,Professional,27.929992163301865
Intel Core i7-11700 @ 2.50GHz,Gigabyte Z590 AORUS ELITE AX,GeForce RTX 3070,Thermaltake TOUGHRAM XG RGB 16 GB,Silverstone SX500-G,1587.01,All-in-One,23.5714960838306
AMD Ryzen 9 3900X,Asus PRIME A520M-K,Radeon Pro W5700,ADATA XPG GAMMIX D45 64 GB,Deepcool PQ650M,2470.8499999999995,Gaming,11.706821539146448
Intel Core i5-10500 @ 3.10GHz,Asus PRIME H410M-D,Radeon Vega Frontier Edition,G.Skill Ripjaws V 32 GB,Lian Li SP850,2446.05,Gaming,8.011365262361766
AMD Athlon X4 950,Gigabyte X570S AORUS ELITE AX,GeForce GTX 1660 SUPER,TEAMGROUP Elite Plus 32 GB,EVGA SuperNOVA 650 GT,725.94,Professional,44.66760338319971
Intel Core i7-12700KF,Gigabyte Z690 GAMING X DDR4,Radeon Pro WX 4100,G.Skill Trident Z RGB 32 GB,Corsair AX850,1691.75,Office,21.94414068272499
Intel Core i7-11700 @ 2.50GHz,MSI MPG Z490 GAMING PLUS,GeForce RTX 2070,Mushkin Essentials 16 GB,Corsair TX750 V2,1474.0800000000002,Office,17.146966243351784
AMD Ryzen 3 1300X,MSI B450 Gaming Plus,GeForce RTX 3060 Ti,Mushkin 976647A 8 GB,EVGA 600 W1,1000.52,Gaming,15.219385919321955
Intel Core i9-10900KF @ 3.70GHz,ASRock H510M-ITX/ac,GeForce RTX 3080,G.Skill Ripjaws S5 32 GB,Rosewill HIVE,1840.97,Office,17.189851002460657
AMD Ryzen 3 3100,NZXT N7 B550,Radeon RX 560,Kingston KVR16R11D4/8HC 8 GB,Corsair CX550 (2017),743.84,Multimedia,36.12335986233599
Intel Core i5-11500T @ 1.50GHz,Asus PRIME H410M-D,Radeon VII,G.Skill Trident Z5 RGB 48 GB,Corsair RM550,2691.9299999999994,Office,12.862890194024365
AMD Ryzen 7 5700X,Gigabyte B550 AORUS PRO,GeForce GTX 1650,GeIL Orion AMD Edition 16 GB,EVGA SuperNOVA 650 G6,924.99,Multimedia,41.95991308014141
Intel Core i3-9100F @ 3.60GHz,ASRock H310CM-DVS,Radeon Pro W5500,Kingston FURY Renegade 128 GB,PC Power & Cooling Silencer,1195.21,Professional,50.99898762560555
Intel Core i9-12900,MSI MAG Z690 TOMAHAWK WIFI,GeForce RTX 2060 SUPER,Corsair Vengeance LPX 16 GB,EVGA SuperNOVA 850 GM,1448.87,Professional,21.173052102673118
Intel Core i9-12900F,ASRock B760 Pro RS/D4,Radeon Pro WX 8200,Kingston KTH-PL421/8G 8 GB,Super Flower Leadex Titanium,2567.87,All-in-One,14.072830789720667
AMD Ryzen 3 3200G,Asus ROG STRIX B450-F GAMING,Radeon RX 6700 XT,Patriot Viper Steel RGB 8 GB,SeaSonic G12 GM,1109.98,Professional,28.98836015063334
AMD A6-9500E,ASRock X570S PG Riptide,GeForce RTX 3080,Corsair Vengeance RGB Pro 16 GB,Gigabyte P650G (US),1383.41,Gaming,10.150425398110466
Intel Celeron G5905 @ 3.50GHz,Gigabyte B560M AORUS PRO AX,GeForce GTX 1660,Patriot Viper 4 Blackout 32 GB,SeaSonic Prime Fanless PX-500,1166.17,All-in-One,25.382234151110044
Intel Pentium Gold G6505 @ 4.20GHz,Asus PRIME H510M-E,Radeon RX 5700 XT,TEAMGROUP T-Force Delta RGB 32 GB,SeaSonic PRIME Ultra Titanium,1162.97,Professional,31.94063475412091
AMD Ryzen 5 1600,Gigabyte B550M DS3H AC,Radeon RX 6900 XT,Crucial CT2K8G48C40U5 16 GB,EVGA SuperNOVA 750 GT,1528.1,Professional,25.894247758654537
AMD Ryzen 5 2600X,Gigabyte B450M K,Radeon Vega Frontier Edition,Patriot Signature 4 GB,Gigabyte UD1000GM,2082.41,Multimedia,18.030311033850204
Intel Core i7-10700 @ 2.90GHz,Asus ROG STRIX Z590-E GAMING WIFI,NVIDIA TITAN Xp,Patriot Signature Line 4 GB,Antec True Power,2437.86,Professional,10.903005094632178
AMD Ryzen 5 3600X,Asus PRIME B450M-A/CSM,GeForce RTX 2080 SUPER,Crucial CT2KIT204864BF160B 32 GB,EVGA 700 BR,1462.3100000000002,All-in-One,25.973152067619036
Intel Core i9-10900KF @ 3.70GHz,MSI MAG B560 TORPEDO,GeForce GTX 1660 SUPER,TEAMGROUP T-Force Delta RGB 32 GB,Corsair RM750x White,1289.24,Gaming,18.223914864571373
Intel Core i7-10700KF @ 3.80GHz,ASRock B460M Steel Legend,GeForce RTX 3060 Ti,Patriot Viper Steel 32 GB,EVGA 850 B5,1310.0900000000001,Gaming,18.451175110106934
Intel Core i5-11500T @ 1.50GHz,ASRock B460M Steel Legend,GeForce RTX 3080,G.Skill F4-3600C16Q2-64GTZSW 64 GB,be quiet! Pure Power 12 M,2088.74,Multimedia,25.580014745731884
Intel Pentium Gold G5420 @ 3.80GHz,MSI Z390-A PRO,Radeon RX 6800,G.Skill Ripjaws S5 64 GB,Corsair VS450,1737.52,Professional,28.85348082324232
Intel Core i3-12100,ASRock Z690 PG Riptide,Radeon R5 330,Crucial CT8G48C40U5 8 GB,Cougar VTE,688.32,Professional,9.670647373314736
Intel Core i7-10700KF @ 3.80GHz,EVGA Z490 DARK K|NGP|N,Radeon RX 560,TEAMGROUP T-Force Delta RGB 64 GB,Phanteks Revolt Pro,1336.8700000000001,Gaming,16.747402514829414
Intel Core i9-12900,Gigabyte Z790I AORUS ULTRA,Radeon RX 590,G.Skill F3-1600C11D-16GSL 16 GB,SeaSonic PRIME Ultra Titanium,1633.18,Gaming,17.432126281242727
Intel Core i9-12900T,MSI MPG Z790I EDGE WIFI,Radeon Pro W5500,G.Skill Aegis 4 GB,SeaSonic FOCUS,1482.76,All-in-One,24.034638107313395
Intel Core i5-11400T @ 1.30GHz,Asus PRIME H510M-A/CSM,Radeon Pro W5500,GeIL Orion RGB AMD Edition 32 GB,GameMax RGB Rainbow,995.97,Office,28.207676938060384
AMD Ryzen 5 2600X,MSI MAG X570S TORPEDO MAX,TITAN V,G.Skill Ripjaws 16 GB,NZXT C (2019),2572.08,Multimedia,16.495015707131973
AMD Ryzen 3 1300X,Asus PRIME A520M-A II/CSM,Radeon RX Vega 56,Corsair Vengeance RGB Pro 64 GB,Enermax MAXREVO SLI,1504.96,Multimedia,27.39109345098873
AMD Athlon 200GE,Gigabyte X570 AORUS ELITE WIFI,GeForce GTX 1650 SUPER,TEAMGROUP T-Force Delta RGB 32 GB,Super Flower Leadex V Platinum Pro,1323.91,Multimedia,26.971244268870244
Intel Core i9-12900KF,Gigabyte B660 AORUS Master,Radeon RX Vega 56,Kingston ValueRAM 48 GB,Super Flower Leadex Platinum SE,1959.95,Office,22.70568126737927
Intel Celeron G3930 @ 2.90GHz,ASRock C246 WS,GeForce RTX 3090,G.Skill Ripjaws 32 GB,Super Flower Leadex V Platinum Pro,2676.8499999999995,All-in-One,13.336944543026322
Intel Core i3-10105 @ 3.70GHz,Gigabyte Z490 AORUS MASTER,Radeon RX 5700 XT,Mushkin Proline 16 GB,EVGA SuperNOVA 750 P2,1639.88,Multimedia,26.992218942849473
AMD Ryzen 7 5700X,Asus ROG Strix X570-F Gaming,Radeon RX 570X,Corsair CMV8GX3M2A1333C9 8 GB,Phanteks Revolt SFX,1176.18,All-in-One,24.818990290601782
Intel Core i5-10400 @ 2.90GHz,ASRock Z590 Extreme WiFi 6E,GeForce RTX 3080 Ti,G.Skill Trident Z Royal 32 GB,MSI MPG A750G PCIE5,1725.95,Gaming,13.165560995393841
Intel Core i5-7640X @ 4.00GHz,ASRock X299 WSI/IPMI,Radeon RX 6800 XT,G.Skill Trident Z Royal 16 GB,EVGA 500 BR,1506.83,Office,14.245800787082816
Intel Core i3-7350K @ 4.20GHz,Supermicro MBD-X11SSM-F-O,Radeon Vega Frontier Edition,Corsair XMS3 8 GB,SeaSonic PRIME PX-1600 ATX 3.0,2757.2599999999993,Multimedia,12.087906109688605
Intel Pentium Gold G6400T @ 3.40GHz,Asus PRIME H510M-E,Radeon Pro W5700,Crucial CT25664BF1339 2 GB,Asus ROG Strix,1984.44,Gaming,6.162191852613332
AMD Ryzen 5 3500X,ASRock X470 Master SLI,Radeon Pro W5500,G.Skill Trident Z Neo 16 GB,EVGA SuperNOVA 550 GA,1349.82,All-in-One,22.734586833800066
AMD Athlon 3000G,Gigabyte B550M DS3H,Radeon RX 5600 XT,Kingston Server Premier 16 GB,Gigabyte P550B,830.4100000000001,Professional,36.12432412904469
AMD Ryzen 5 5600G,Asus TUF GAMING A520M-PLUS,Radeon RX 590,Patriot Signature 4 GB,Corsair HX750,1397.23,Multimedia,30.571201591720758
Intel Core i5-10400F @ 2.90GHz,Gigabyte H470 AORUS PRO AX,Radeon RX 580,G.Skill Aegis 16 GB,SeaSonic PRIME Ultra Gold 1000,1139.58,Gaming,13.794380385756158
Intel Celeron G5920 @ 3.50GHz,MSI MEG Z590 GODLIKE,GeForce RTX 2060 SUPER,G.Skill Trident Z5 Neo RGB 96 GB,be quiet! Pure Power 12 M,1452.36,Professional,37.64700212068634
Intel Celeron G5925 @ 3.60GHz,Asus ROG Maximus XIII Apex,GeForce GTX 1080 Ti,TEAMGROUP Elite Plus 32 GB,Thermaltake Toughpower iRGB PLUS 750,1603.04,All-in-One,21.14020860365306
AMD Ryzen 9 5900X,Gigabyte X570 AORUS PRO WIFI,Radeon RX 5700 XT,Kingston FURY Beast RGB 32 GB,Cooler Master V SFX Platinum,1887.82,Professional,19.676664088737272
AMD Ryzen 3 3200G,ASRock B450M Pro4,GeForce RTX 3080 Ti,Corsair Vengeance RGB RT 32 GB,Asus ROG LOKI,1788.64,Professional,24.41156409338939
Intel Core i3-9300 @ 3.70GHz,ASRock C246 WS,Radeon RX 6600 XT,Thermaltake TOUGHRAM XG RGB 16 GB,Xilence XP1250MR9,1318.35,Gaming,12.544165054803353
AMD PRO A12-9800,MSI MAG A520M VECTOR WIFI,GeForce GTX 1650 SUPER,Crucial CT4K16G4DFD824A 64 GB,Corsair HX1200i,1620.84,All-in-One,21.193948816662964
AMD Athlon 3000G,Gigabyte X570 AORUS ELITE WIFI,Radeon Vega Frontier Edition,Kingston Fury Renegade RGB 32 GB,Deepcool PM650D,2309.0700000000006,Multimedia,15.400139450081628
Intel Core i5-12600,Asus PRIME B660-PLUS D4,Radeon RX 6800,G.Skill Zeta R5 128 GB,Thermaltake Toughpower SFX,2430.4000000000005,All-in-One,25.663676761026988
Intel Core i5-11600K @ 3.90GHz,ASRock Z590 PG Velocita,Radeon RX 5700 XT,Crucial CT2K51264BD160BJ 8 GB,Corsair HX1000i (2022),1419.91,Office,16.510905620778782
Intel Core i3-10300 @ 3.70GHz,Gigabyte Z490I AORUS ULTRA,GeForce RTX 3070 Ti,Klevv BOLT X 32 GB,Thermaltake Smart BX1 RGB 650,1551.0800000000002,Gaming,13.555909430848182
AMD Ryzen 5 4500,ASRock X570 Phantom Gaming-ITX/TB3,TITAN V,Klevv CRAS X RGB 32 GB,Cougar BXM850,2587.7,Gaming,8.37392278857673
Intel Core i9-10900T @ 1.90GHz,Asus ROG STRIX Z490-I GAMING,Radeon RX 6800,G.Skill Ripjaws V 8 GB,Asus TUF Gaming 750G,1544.96,Gaming,12.368799192212094
Intel Core i5-10400F @ 2.90GHz,Asus ROG Maximus XIII Apex,GeForce GTX 1660,G.Skill Trident Z5 RGB 48 GB,Xilence XP550R9,1574.96,Multimedia,27.21307207802103
Intel Core i5-10400F @ 2.90GHz,Asus TUF GAMING Z490-PLUS,GeForce RTX 3080,Kingston Fury Renegade RGB 16 GB,Cooler Master Elite V3,1635.05,Office,13.35249686553928
Intel Core i7-12700KF,Gigabyte B660M AORUS Pro AX DDR4,GeForce RTX 3080,VisionTek 900667 8 GB,Silverstone Strider Platinum,1659.9,All-in-One,25.03801433821315
AMD Ryzen 7 2700X,ASRock A520M-ITX/ac,Radeon RX 6900 XT,Corsair Mac Memory 8 GB,Corsair CX550 (2017),1606.87,Office,11.087393504141591
Intel Core i5-12400,Gigabyte Z790 AORUS MASTER,GeForce GTX 1660 SUPER,Kingston KVR21S15S8/4 4 GB,be quiet! Straight Power 11,1123.47,Multimedia,38.36818072578708
AMD Ryzen 5 4500,Gigabyte B550I AORUS PRO AX,GeForce RTX 3070 Ti,ADATA Premier 16 GB,Silverstone TX700-G,1290.46,Multimedia,38.79934286998435
Intel Core i9-11900T @ 1.50GHz,Asus PRIME Z590M-PLUS,Radeon RX 590,Crucial CT2K2G3S1067M 4 GB,Thermaltake Toughpower SFX,1455.96,All-in-One,20.478584576499355
AMD Ryzen 5 5600X,Asus ROG STRIX B550-A GAMING,Radeon RX 590,G.Skill Ripjaws 16 GB,Silverstone ST85F-GS-V2,1129.46,Gaming,18.82040975333345
AMD Athlon 3000G,ASRock B450 Steel Legend,Radeon RX 590,Kingston FURY Impact 8 GB,be quiet! Pure Power 11,844.48,Office,17.992137173171656
AMD Ryzen 7 3700X,Gigabyte B550I AORUS PRO AX,Radeon RX 6900 XT,OLOy Blade RGB 32 GB,Corsair AX850,2395.8,All-in-One,18.129560063444362
Intel Core i7-12700KF,MSI PRO B760M-P DDR4,Radeon Pro W5500,Corsair Vengeance 16 GB,PC Power & Cooling Silencer,1250.81,All-in-One,30.303403394600302
Intel Core i9-10900K @ 3.70GHz,ASRock H470M-HDV,Radeon Pro W5500,Kingston ValueRAM 8 GB,Razer Katana Chroma,1371.53,All-in-One,23.66802038599229
Intel Core i5-11400F @ 2.60GHz,MSI H510M-A PRO,Radeon RX 590,G.Skill Trident Z Neo 32 GB,Phanteks Revolt X,1208.91,Professional,25.338941691275608
AMD PRO A12-9800E,Gigabyte X570SI AORUS PRO AX,TITAN V,Patriot Viper 3 16 GB,Enermax MAXREVO SLI,2994.4699999999993,Multimedia,12.353104222116103
AMD Ryzen 5 1600,Gigabyte X570 I AORUS PRO WIFI,Radeon R5 330,Kingston KVR16E11/4 4 GB,EVGA SuperNOVA 650 G7,1029.32,Office,13.643959118641433
Intel Core i3-12100T,Asus Pro B760M-CT-CSM,Radeon Pro W5500,Kingston KTH-PL426S8/8G 8 GB,ADATA XPG CORE Reactor 850,897.57,Professional,27.80228840090467
Intel Pentium Gold G6400 @ 4.00GHz,MSI MAG Z490 TOMAHAWK,Radeon RX 570X,G.Skill Ripjaws V 16 GB,Corsair RM650x (2021),855.61,All-in-One,28.492654363553488
Intel Core i9-12900,ASRock B660M Pro RS,Radeon Vega Frontier Edition,G.Skill Ripjaws X 4 GB,SeaSonic G12 GM,2454.7899999999995,Office,10.824551183604301
Intel Core i3-10100 @ 3.60GHz,MSI B560M PRO,TITAN V,G.Skill Trident Z Royal 64 GB,Apevia Prestige,2543.48,All-in-One,15.921965181562268
Intel Core i7-9700 @ 3.00GHz,Supermicro MBD-X11SSL-F-O,Radeon RX 590,G.Skill Trident Z RGB 16 GB,EVGA SuperNOVA 750 P2,1417.81,Office,16.2870906538958
AMD Ryzen 5 3600XT,Asus ROG Crosshair VIII Hero,GeForce RTX 2080 SUPER,Kingston HyperX Fury 16 GB,Fractal Design Ion Gold,1866.79,Office,12.408465869219356
AMD Ryzen 5 5600G,Gigabyte B550 AORUS ELITE V2,Radeon RX Vega 64,V-Color Prism Pro 16 GB,Thermaltake Toughpower SFX,1385.3700000000001,All-in-One,23.580126608775995
